"","species","vir_pos","massmale_kg","massfemale_kg","habitat_forest","habitat_savanna","habitat_shrubland","habitat_grassland","habitat_wetlands","habitat_rocky.areas","habitat_desert","threat_critical","threat_data_deficient","threat_endangered","threat_least_concern","threat_not_evaluated","threat_near_threatened","threat_vulnerable","population_decreasing","ppoulation_increasing","population_stable","locomotion_arboreal","locomotion_both","locomotion_terrestrial","folivore","folivore_frugivore","frugivore","gummivore","insectivore","omnivore","adult_mass_g","brain_mass_g","adult_body_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","home_range_km2","social_group_n","det_inv","det_vend","det_vect","det_vunk","det_fruit","det_nect","det_seed","det_plantother","det_diet_breadth_n","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","disected_by_mountains","habitat_breadth_n","aotidae","atelidae","callitrichidae","cebidae","cercopithecidae","cheirogaleidae","daubentoniidae","galagidae","hominidae","hylobatidae","indriidae","lemuridae","lepilemuridae","lorisidae","pitheciidae","tarsiidae","afrotropical","australasian","indomalayan","neotropical","palearctic","realm_multiple","foraging_stratum_arboreal","foraging_stratum_ground","foraging_stratum_scansorial","activity_cycle_diurnal","activity_cycle_multiple","activity_cycle_nocturnal","body_size_ratio","rel_age_fb_days","rel_sexual_maturity_days","postnatal_growth_rate","mass_specific_production","home_range_scaled_km2_g","wos_hits","hfp_avg","species_avg","max_popdens","min_popdens","mean_popdens","mean_temp","max_temp","min_temp","range_temp","mean_prec","max_prec","min_prec","range_prec","ymin","ymax","range_lat","centroid","ecor_n"
"108","Cheirogaleus andysabini",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04051658174825,1.87164831891221,244.5,5475,420.91,420.91,NA,491.672,70.762,2.255,1.058,328.516,2.89369954798884,47.158,NA,2009.667,-0.41855034765682,2.484906649788,NA,NA,10,0,0,0,50,0,0,40,2,1800,0,1800,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23.2619047619048,-2.4101357271801,-2.56552852057791,NA,0.102562108495394,NA,0,1.56873287525533,37.222297668457,2.9446376248532,2.99592098789354,2.9446376248532,230,289,161,128,1399,5.84643877505772,2.63905732961526,333,-12.7644972472222,-12.3775890805556,0.386908166666666,-12.5710431638889,0
"109","Cheirogaleus crossleyi",0,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6.04051658174825,1.87164831891221,244.5,5475,420.91,420.91,NA,491.672,70.762,2.255,1.058,328.516,2.89369954798884,47.158,NA,2009.667,-0.41855034765682,2.484906649788,NA,NA,10,0,0,0,50,0,0,40,2,1800,0,1800,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23.2619047619048,-2.4101357271801,-2.56552852057791,NA,0.102562108495394,NA,1.94591014905531,1.83860954460065,59.8282414813374,4.58108241859444,2.9596698292287,3.80646208965703,190.441860465116,297,79,169.837209302326,1644.51162790698,5.98141421125448,1.6094379124341,276,-21.0969118416667,-14.0859374472222,7.01097439444444,-17.5914246444444,1.09861228866811
"110","Cheirogaleus lavasoensis",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04051658174825,1.87164831891221,244.5,5475,420.91,420.91,NA,491.672,70.762,2.255,1.058,328.516,2.89369954798884,47.158,NA,2009.667,-0.41855034765682,2.484906649788,NA,NA,10,0,0,0,50,0,0,40,2,1800,0,1800,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23.2619047619048,-2.4101357271801,-2.56552852057791,NA,0.102562108495394,NA,0,3.29549075357203,37.6375312805176,4.37370775045537,2.6591937352964,4.27279810920062,228.426001635323,310,99,174.190515126738,1102.03515944399,5.4971682252932,2.83321334405622,128.027800490597,-25.1346457861111,-23.1683586416667,1.96628714444445,-24.1515022138889,0.693147180559945
"111","Cheirogaleus major",0,-0.555125882662571,-0.814185508937001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6.04051658174825,1.91692261218206,244.5,5475,420.91,420.91,365,488.41,70.762,2.255,1.039,338.962,2.89369954798884,47.158,NA,1888.991,-0.41855034765682,3.76699723337789,-3.91202300542815,0,15,0,0,0,40,10,0,35,3,1800,0,1800,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23.2619047619048,-2.41679233763729,-2.56552852057791,NA,0.100720255885363,-9.9525395871764,3.09104245335832,3.50047334957438,51.7268031438192,5.53531145421826,3.11057205453817,4.28008079131915,228.722222222222,304,104,134.555555555556,2610.33333333333,6.23441072571837,3.61091791264422,313,-24.9719459416667,-14.0859374472222,10.8860084944444,-19.5289416944444,1.09861228866811
"112","Cheirogaleus medius",0,-1.80788885115794,-1.8578992717326,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5.68422581710698,1.19240616795447,234.75,8471.042,413.84,415.156,NA,472.67,63.766,2.195,1,364.75,2.8440369103018,61.218,NA,2584.908,-0.614336000135655,5.35927605020666,-3.91202300542815,0,15,0,0,0,40,10,0,35,3,800,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,17.1189991271458,-2.8860113319263,-3.01892937681632,NA,0.128220112852238,-9.59624882253513,4.70953020131233,2.07326447877565,34.5477264404297,4.7992716801871,2.06780061435864,3.4956491588756,253.533333333333,346,101,203.2,925.066666666667,5.85507192220243,0,276.333333333333,-23.0463337583333,-17.6851754694444,5.36115828888889,-20.3657546138889,0.693147180559945
"113","Cheirogaleus sibreei",0,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6.04051658174825,1.78691441756486,244.5,5475,420.91,420.91,NA,491.672,70.762,2.255,1.136,316.9,2.89369954798884,47.158,NA,2052.939,-0.41855034765682,NA,NA,NA,10,0,0,0,50,0,0,40,2,1800,7.24494154633701,400,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,23.2619047619048,-2.4101357271801,-2.56552852057791,NA,0.110123398157625,NA,1.94591014905531,2.00786370364021,57.8064308751972,4.88860236517909,3.39835591310685,4.23647738408694,174.407288906664,287,72,173.896365545168,1521.30520421937,5.75257263882563,2.63905732961526,256.319752037194,-21.3151677305556,-14.3428841527778,6.97228357777778,-17.8290259416667,0.693147180559945
"114","Cheirogaleus thomasi",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82894561761021,1.19240616795447,225,8471.042,416.472,416.472,NA,472.67,65.742,2.25,1,364.75,2.89259151463448,60.65,NA,2584.908,-0.534435489405125,5.35927605020666,-3.91202300542815,0,10,0,0,0,50,0,0,40,2,800,NA,NA,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,18.8470066518847,-2.8860113319263,-3.01258957005526,NA,0.119382352941176,-9.74096862303835,1.09861228866811,3.89766237419122,47.3368221881942,4.93901588143682,4.37388717655196,4.73812822025165,227.338968900021,300,137,155.698184095178,1788.76977666458,5.64544689764324,4.12713438504509,184.276142767689,-25.1078598361111,-24.7388089694444,0.369050866666669,-24.9233344027778,0
"115","Cheracebus lucifer",0,0.405465108108164,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.02978262811689,3.03927057556847,294.99,3096.417,1584.463,1584.463,NA,1239.999,156.756,1.005,1.027,418.751,NA,136.92,NA,3106.354,0.12575120530556,2.39789527279837,NA,NA,20,0,0,0,50,0,0,30,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-0.915135063415081,-0.670000087918788,NA,NA,NA,1.09861228866811,-0.258375824215361,177.658358608256,4.87018256651237,0.00000469771236357158,0.903658283927903,259.264542936288,325,197,107.731301939058,2973.17174515235,6.01615715969835,4.59511985013459,150.445983379501,-4.64140989166667,0.155259302777778,4.79666919444444,-2.24307529444444,1.79175946922805
"116","Cheracebus lugens",0,0.398776119957368,0.231111720963387,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.02978262811689,2.97241246823237,294.99,3096.417,1584.463,1584.463,NA,1240.452,156.683,1.005,1.024,418.621,NA,136.92,NA,3093.137,0.12575120530556,3.18428438009858,NA,NA,20,0,0,0,50,0,0,30,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-0.914769807253974,-0.670000087918788,NA,NA,NA,2.30258509299405,-0.522677543849625,172.678702458232,5.60319154064995,0,0.609456012891527,259.579081632653,359,134,118.203656462585,2735.6156462585,6.42971947803914,2.07944154167984,272.704931972789,-1.52035068055556,8.36366486944445,9.88401555,3.42165709444444,2.89037175789616
"117","Cheracebus medemi",0,0.0953101798043249,0.27002713721306,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,7.02978262811689,2.98163334917449,294.99,3096.417,1584.463,1584.463,NA,1215.923,156.222,1.005,1.03,415.759,NA,136.92,NA,2920,0.12575120530556,NA,NA,NA,20,0,0,0,50,0,0,30,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-0.93474217740948,-0.670000087918788,NA,NA,NA,0,1.24910377571148,179.122048666311,3.88413340865293,0.788039574590569,2.262737730115,254.53488372093,321,196,109.883720930233,3234.58139534884,6.08221891037645,4.58496747867057,210.674418604651,-0.305062208333333,1.03225114722222,1.33731335555556,0.363594469444444,0.693147180559945
"118","Cheracebus purinus",0,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.02978262811689,3.18519493849931,294.99,3096.417,1584.463,1584.463,NA,1247.243,156.715,1.005,1.026,425.377,NA,136.92,NA,3201.708,0.12575120530556,1.54756250871601,NA,NA,20,0,0,0,50,0,0,30,3,100,3.43398720448515,70,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-0.909310121183991,-0.670000087918788,NA,NA,NA,0.693147180559945,0.0751201253657738,175.489642000746,3.82129523634951,0.000000784088717421329,0.178163058214211,263.882183908046,325,194,109.405172413793,2588.80459770115,5.94803498918065,4.0943445622221,234.241379310345,-6.93706501388889,-2.59079660833333,4.34626840555556,-4.76393081111111,1.38629436111989
"119","Cheracebus regulus",0,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.02978262811689,3.11954155928028,294.99,3096.417,1584.463,1584.463,NA,1241.021,156.315,1.005,1.026,421.364,NA,136.92,NA,3158.064,0.12575120530556,1.78758409781757,NA,NA,20,0,0,0,50,0,0,30,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-0.914311208663563,-0.670000087918788,NA,NA,NA,0,-0.705769924278575,181.953910064697,3.76241697316097,0.000127423206699986,-0.160329057951198,257.0671875,325,183,117.9875,2579.0640625,5.87773578177964,4.0943445622221,196.4703125,-7.57992781388889,-2.415199825,5.16472798888889,-4.99756381944444,1.38629436111989
"120","Cheracebus torquatus",0,0.246860077931526,0.19062035960865,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.02978262811689,3.00255891889627,294.99,3096.417,1683.65,1584.463,NA,1238.322,156.483,1.005,1.027,418.243,NA,136.92,NA,3085.715,0.12575120530556,2.2082744135228,-2.20727491318972,1.34807314829969,20,0,0,0,50,0,0,30,3,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-0.916488399206493,-0.609281580841173,NA,NA,-9.23705754130661,3.13549421592915,-1.0175286195466,167.883347014728,6.80296609259768,0,1.33561966638781,263.460770328103,330,200,104.042796005706,2840.23965763195,6.0591231955818,4.06044301054642,179.680456490728,-4.03525376388889,0.685025869444444,4.72027963333333,-1.67511394722222,1.79175946922805
"121","Chiropotes albinasus",0,1.14740245283754,0.912282710476616,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7.97246601597457,4.05421677113132,475.5,7588.958,1460.464,1460.464,NA,1618.134,157.67,1,0.636,661.981,NA,428.706,NA,3650,0.643956936369174,2.01490302054226,0.683096844706444,3.11351530921037,10,0,0,0,40,0,20,30,3,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.54542066257922,-1.64794010263137,NA,NA,-7.28936917126812,2.30258509299405,0.0678292627677687,148.214548556974,5.82759609974007,0,0.609580225301545,255.382282521947,362,113,159.499201915403,2176.6324820431,6.24610676548156,0,317.522745411014,-13.8805784972222,-1.47570743055556,12.4048710666667,-7.67814296388889,2.19722457733622
"122","Chiropotes chiropotes",0,1.06471073699243,0.947789398933526,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7.98701483913443,4.05386972965638,463.63,7154,1460.464,1460.464,NA,1618.134,157.67,1,0.646,652.03,NA,424.523,NA,3678.537,0.651804217025563,2.0188950418118,NA,NA,10,0,0,0,70,0,20,0,2,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.48639800733558,-1.58891744738774,NA,NA,NA,1.6094379124341,-0.886126177303894,179.279011798881,5.82449993043285,0,0.48194790109441,254.693713450292,360,109,120.695906432749,2513.71052631579,6.42971947803914,1.38629436111989,298.642543859649,-1.31598380277778,8.18707601388889,9.50305981666667,3.43554610555556,2.39789527279837
"123","Chiropotes sagulatus",0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7.98701483913443,4.05386972965638,463.63,7154,1460.464,1460.464,NA,1618.134,157.67,1,0.646,652.03,NA,424.523,NA,3678.537,0.651804217025563,2.0188950418118,NA,NA,10,0,0,0,70,0,20,0,2,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,NA,-1.48639800733558,-1.58891744738774,NA,NA,NA,2.99573227355399,-0.219956400426917,176.196942763505,7.50176865207731,0,1.19515700108808,262.931458699473,345,188,114.839191564148,2205.94376098418,6.31535800152233,2.94443897916644,296.822056239016,-3.28921545277778,6.42614781944445,9.71536327222222,1.56846618333333,2.19722457733622
"124","Chiropotes satanas",0,1.1314021114911,1.08518926833597,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7.98701483913443,4.0448741667478,463.63,7154,1460.464,1460.464,NA,1618.134,157.67,1,0.648,650.862,NA,423.216,NA,3650,0.651804217025563,1.6132307106728,0.392042087776024,2.66722820658195,10,0,0,0,40,0,20,30,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.48639800733558,-1.58891744738774,NA,NA,-7.59497275135841,4.15888308335967,1.98829557321417,140.082770345839,7.34104246643586,0.194102707183866,3.48576951326867,265.774774774775,347,160,121.981981981982,1964.64684684685,6.35088571671474,1.38629436111989,349.704504504504,-6.433092325,-0.540183325,5.892909,-3.486637825,1.6094379124341
"125","Chiropotes utahickae",0,1.17865499634165,1.01160091167848,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,7.98701483913443,4.07456693461343,463.63,7154,1460.464,1460.464,NA,1618.134,157.67,1,0.655,637.254,NA,414.299,NA,3650,0.651804217025563,2.30797056527038,NA,NA,0,0,0,0,30,0,50,20,3,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,NA,-1.48639800733558,-1.58891744738774,NA,NA,NA,1.94591014905531,1.14761419397185,141.936126216129,5.62304432631306,0.0000359977126194773,1.79049736077989,257.037467700258,356,150,142.020671834625,2041.99224806202,6.12905021006055,0,309.385012919897,-11.0105135583333,-0.564985130555556,10.4455284277778,-5.78774934444444,1.94591014905531
"126","Chlorocebus aethiops",1,1.75267208052001,1.26129787094521,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8.53782880501631,4.15802333888528,660,16790,1571.93,1318.86,1825,1733.75,167.99,1,1,434.053,5.78657524359634,212.748,6.9433637064495,4533.483,0.954741918248408,4.29045944114839,NA,NA,20,0,0,20,40,0,0,20,4,NA,NA,NA,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,15.6622531797051,-2.27049677844255,-2.36847930733598,1.15678846285317,0.0638477739138953,NA,5.85220247977447,2.17458296207359,75.1008350386009,7.35218933765961,1.1708363657288,4.71829911654391,233.494632206759,430,-9,207.219483101392,829.985288270378,6.07304453410041,0,181.821471172962,4.65033854166667,19.5006676361111,14.8503290944444,12.0755030888889,2.39789527279837
"127","Chlorocebus cynosuros",0,1.55814461804655,1.16315080980568,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8.53782880501631,4.25206030821386,660,16790,1571.93,1318.86,1825,1486.85,167.99,1,1,434.053,5.78657524359634,212.748,6.9433637064495,4179.914,0.954741918248408,NA,NA,NA,10,0,0,20,40,0,10,20,3,NA,NA,NA,NA,NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,15.6622531797051,-2.42412368294302,-2.36847930733598,1.15678846285317,0.0638477739138953,NA,1.6094379124341,1.72627582708714,101.835665447317,9.33878280016089,0.0274540016555293,3.63798307331491,220.884248375052,370,36,207.827133176601,1141.31268151016,5.82600010738045,0,212.088646107039,-18.8330030305556,-1.38344471388889,17.4495583166667,-10.1082238722222,3.13549421592915
"128","Chlorocebus djamdjamensis",0,1.55814461804655,1.16315080980568,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,8.53782880501631,4.27765174423901,660,16790,1571.93,1318.86,1825,1486.85,167.99,1,1,434.053,5.78657524359634,212.748,6.9433637064495,4078.6,0.954741918248408,NA,NA,NA,10,0,0,0,10,0,0,80,1,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,15.6622531797051,-2.42412368294302,-2.36847930733598,1.15678846285317,0.0638477739138953,NA,2.484906649788,1.96683053624849,102.263656107585,6.75015186798916,4.0353970715571,5.11255224404894,135.933333333333,261,11,174.933333333333,1073.13333333333,5.29831736654804,2.56494935746154,134.066666666667,6.39142529166667,7.08984413611111,0.698418844444443,6.74063471388889,1.09861228866811
"129","Chlorocebus pygerythrus",1,1.45395300959371,1.09192330051731,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8.53782880501631,4.17005482145658,660,16790,1571.93,1318.86,1825,1486.85,167.99,1,1,434.053,5.78657524359634,212.748,6.9433637064495,4188.179,0.954741918248408,3.7323459488591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2000,0,2000,NA,NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,15.6622531797051,-2.42412368294302,-2.36847930733598,1.15678846285317,0.0638477739138953,NA,5.04985600724954,2.00541368244346,101.224852261328,8.29303453765749,0.0000238883478938139,3.79143502913322,229.860302438021,418,-38,200.476288447691,731.01090422796,6.50279004591562,0,156.139697561979,-34.8311596861111,8.35176000277778,43.1829196888889,-13.2396998416667,3.80666248977032
"130","Chlorocebus sabaeus",1,1.66770682055808,1.19392246847243,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8.53782880501631,4.2509208692642,660,16790,1571.93,1318.86,1825,1486.85,167.99,1,1,434.053,5.78657524359634,212.748,6.9433637064495,4260.481,0.954741918248408,2.2353763433006,NA,NA,20,0,0,20,40,0,0,20,4,NA,NA,NA,NA,NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,15.6622531797051,-2.42412368294302,-2.36847930733598,1.15678846285317,0.0638477739138953,NA,4.55387689160054,2.09759033132053,99.7223510767334,8.84760026683105,1.54488489534185,4.14531664967028,267.610636900854,424,100,206.852593565332,1280.5252790545,7.00215595440362,0,297.560407091267,5.09280275277778,16.7744531694444,11.6816504166667,10.9336279611111,2.07944154167984
"131","Chlorocebus tantalus",0,1.70474809223843,1.37371557891303,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,8.5094633933543,4.18936682179349,660,16790,1571.93,1318.86,1825,1486.85,167.99,1,1,434.053,5.78657524359634,212.748,6.9433637064495,4225.703,0.939225703156651,4.53474772169155,NA,NA,20,0,0,0,50,0,0,30,3,1900,NA,NA,NA,NA,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,15.2242286626061,-2.42412368294302,-2.36847930733598,1.15678846285317,0.0656847727501764,NA,2.19722457733622,2.020085077225,101.114151646218,8.21033778971247,0.0672630491309335,4.42187086387278,257.763310597577,425,42,195.842003461264,1176.44629950117,6.03068526026126,0,219.031456785096,-2.06995869166667,15.870675375,17.9406340666667,6.90035834166667,3.3322045101752
"132","Colobus angolensis",0,2.28238238567653,2.00148000021012,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9.09801118700226,4.27056420682459,627.34,12884.5,1186,1642,730,1832.529,190.529,1,0.6,441.902,6.35158355344927,269.984,7.12286665859908,3936.29,1.2629961447754,2.30088364635429,NA,2.3887627892351,0,0,0,0,30,0,0,70,2,2415,0,2415,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,15.5868503662365,-1.95032805851099,-2.38543873796407,0.771283105149813,0.038493986013986,NA,4.27666611901606,1.64480827424256,114.359772547187,8.47373415769549,0.0378813942242448,3.66023565238181,238.666440524649,344,41,144.775214834916,1626.12302125735,6.50279004591562,0,190.305065581185,-12.7148936361111,3.72076686944444,16.4356605055556,-4.49706338333333,2.94443897916644
"133","Colobus guereza",1,2.29152414563462,2.06686275947298,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.11144888694694,4.33884508776473,627.34,12775,1929.19,1635.92,1461,1916.25,180,1,0.775,441.902,6.2014114038278,376.798,7.23444409939059,4509.575,1.27032218486747,4.78410267303403,-1.77195684193188,2.02814824729229,0,0,0,0,30,0,0,70,2,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,18.3574866499813,-1.89711998488588,-1.89038991038627,1.03303269556279,0.0422171081900687,-10.8834057288788,5.40267738187228,1.49153480915345,126.881156321305,7.53155970821592,0.0672630491309335,3.61372555984262,240.580174336104,396,-2,154.738901277113,1550.88080275694,6.33682573114644,0,213.692884654369,-3.54120179722222,13.4123204083333,16.9535222055556,4.93555930555556,3.13549421592915
"134","Colobus polykomos",0,2.29253475714054,2.11625551480255,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.06567811766038,4.38318845949397,629.68,12373.5,1629.84,1642,730,3102.5,190.529,1,0.6,441.902,6.35158355344927,269.984,7.12286665859908,3650,1.24501877376194,3.69304576298335,-1.96611285637283,2.32238772029023,0,0,0,0,30,0,0,70,2,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,15.0909400069759,-1.38334885089013,-2.02707523849525,0.771283105149813,0.0397589546921957,-11.0317909740332,4.11087386417331,2.00084263865402,126.835782128682,7.30685135220579,1.84788242951614,4.1905304505521,256.811224489796,408,101,162.049744897959,2392.2806122449,7.00215595440362,0,443.405612244898,4.35569309166667,12.6097339805556,8.25404088888889,8.48271353611111,1.6094379124341
"135","Colobus satanas",1,2.34180580614733,2.00417905717929,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,9.06567811766038,4.34848277763853,629.68,12373.5,1186,1642,730,1832.529,190.529,1,0.6,441.902,6.35158355344927,269.984,7.12286665859908,3650,1.24501877376194,2.52972066557779,-0.82098055206983,2.7408400239252,0,0,0,0,30,0,0,70,2,2250,6.21660610108486,1750,NA,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,15.0909400069759,-1.90986010895814,-2.34497078841123,0.771283105149813,0.0397589546921957,-9.88665866973021,2.94443897916644,1.32814882931266,141.958655872564,7.53155970821592,1.00901980180123,3.40541690645737,235.067323481117,321,149,122.940886699507,1728.72249589491,6.05208916892442,1.09861228866811,275.045977011494,-1.96380696388889,4.89438830833333,6.85819527222222,1.46529067222222,1.38629436111989
"136","Colobus vellerosus",0,2.14006616349627,1.93152141160321,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9.04887970584956,4.32680458017366,632.34,12373.5,1186,1642,730,1832.529,190.529,1,0.6,441.902,6.35158355344927,269.984,7.12286665859908,3650,1.23576212681534,3.68887945411394,-1.23787435600162,2.77258872223978,0,0,0,0,30,0,0,70,2,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,14.839553540286,-1.90986010895814,-2.34497078841123,0.771283105149813,0.0404324832530262,-10.2867540618512,4.54329478227,2.12403901827648,130.091499987456,8.21401881386832,1.55697312121178,4.85567779656529,265.963153384747,375,169,142.579263067695,1274.6058269066,6.34388043412633,0,214.181662382177,4.74061711388889,9.61069965277778,4.87008253888889,7.17565838333333,1.79175946922805
